sample_id,uname,date,time,test,result,unit,confidence_score,galaxy_version,model_version,local_hsi_link,s3_hsi_link,s3_model_path,response_time,customer_name
231115,imagoai_icp,2023-11-29,01:24:23,vomitoxin,0.75,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\0231115\0231115.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/DON/galaxy_model.gz,5,NULL
1,imagoai_aoac,2023-12-18,07:58:57,aflatoxin,2.89,PPB,NA,4.4.0,v1.4,D:\Test\1\RB-12162023-1.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,11,NULL
1,imagoai_aoac,2023-12-18,07:58:57,fumonisin,1000.51001,PPB,NA,4.4.0,v1.4,D:\Test\1\RB-12162023-1.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,11,NULL
1,imagoai_aoac,2023-12-18,07:58:57,vomitoxin,8848.15,PPB,NA,4.4.0,v1.4,D:\Test\1\RB-12162023-1.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,11,NULL
1,imagoai_aoac,2023-12-18,07:58:57,zearalenone,43.82,PPB,NA,4.4.0,v1.4,D:\Test\1\RB-12162023-1.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,11,NULL
1_3_Corn-Grading_0187,imagoai_dev,2024-02-21,10:51:40,aflatoxin,4.41,PPB,NA,4.4.0,v2.62,D:\corn-damage\1_3_Corn-Grading_0187\1_3_Corn-Grading_0187.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/v1.5/AFLA/galaxy_deploy.gz,3,James
1_3_Corn-Grading_0187,imagoai_dev,2024-02-21,10:50:52,fumonisin,240.22,PPM,NA,4.4.0,v1.4,D:\corn-damage\1_3_Corn-Grading_0187\1_3_Corn-Grading_0187.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,14,NULL
1_3_Corn-Grading_0187,imagoai_dev,2024-02-21,10:50:52,vomitoxin,716.37,PPM,NA,4.4.0,v1.4,D:\corn-damage\1_3_Corn-Grading_0187\1_3_Corn-Grading_0187.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,14,NULL
1_3_Corn-Grading_0187,imagoai_dev,2024-02-21,10:50:52,zearalenone,0,PPB,NA,4.4.0,v1.4,D:\corn-damage\1_3_Corn-Grading_0187\1_3_Corn-Grading_0187.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,14,NULL
1_emptyname_2023-09-25_19-31-47,imagoai_dev,2023-10-04,11:49:34,aflatoxin,300.96,PPB,NA,4.3.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\1_emptyname_2023-09-25_19-31-47\1_emptyname_2023-09-25_19-31-47.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/AFLA/Aflatoxin_v1.1/galaxy_model.gz,13,Ava
1_emptyname_2023-09-25_19-31-47,imagoai_dev,2023-10-04,12:04:14,fumonisin,0.22,PPM,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\1_emptyname_2023-09-25_19-31-47\1_emptyname_2023-09-25_19-31-47.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FUM/Fumonisin_v1.1/galaxy_model.gz,11,James
1_emptyname_2023-09-25_19-31-47,imagoai_dev,2023-10-04,11:49:34,vomitoxin,0.22,PPM,NA,4.3.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\1_emptyname_2023-09-25_19-31-47\1_emptyname_2023-09-25_19-31-47.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/DON/Vomitoxin_v1.1/galaxy_model.gz,13,Sophia
